Domain,Origin,Action,Comment
varishangout.net,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, hate-speech, inappropriate, racism, underage"
volk.network,"Garden Fence (2025-10-12)","Suspend","hate-speech, nazism, racism, white-supremacy"
whinge.town,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, hate-associated, racism"
whitewomen.dog,"Garden Fence (2025-10-12)","Suspend","hate-associated, hate-speech, inappropriate, racism, underage"
wideboys.org,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, harassment, hate-associated, racism"
wolfgirl.bar,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, antisemitism, harassment, hate-speech, racism, white-supremacy"
yesmap.net,"Garden Fence (2025-10-12)","Suspend","inappropriate, underage"
yggdrasil.social,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, harassment, hate-speech, nazism, racism, white-supremacy"
youjo.love,"Garden Fence (2025-10-12)","Suspend","antisemitism, antivax, harassment, inappropriate, underage"
zztails.gay,"Garden Fence (2025-10-12)","Suspend","alt-right, hate-speech, racism"
